donor_name,canonical_name,total_given,rank_overall
A A Z,,23677602,2069
A BRIGHTER PATH,A Brighter Path,15633927.92,2945
A WORLD OF FRIENDS SWEDEN,A World of Friends Sweden,10127323,4257
AAJI  Association Pour LAide Aux Jeunes Infirmes,Association Pour Laide Aux Jeunes Infirmes,10676496,4086
AAM FOUNDATION,AAM Foundation,485957861.9,60
Aarohi Schweiz,,8696098.88,4796
ABBA Child Care,,138682073,296
ABBAYE DE SOLEILMONT,Abbaye de Soleilmont,9166100,4618
Abbott India Limited,,14600000,3103
ABC Childrens Aid,,16107389,2875
ABT Associates,Abt Associates,30253344,1598
Abt Associates Inc,Abt Associates,32145031,1492
Abu Dhabi Tourism And Culture Authority,,9326724,4563
ABWE,Association of Baptists for World Evangelism - UK,11622088.64,3812
ABWE FOUNDATION,Association of Baptists for World Evangelism - US,10860284.61,4024
ABWE Foundation INC,Association of Baptists for World Evangelism - US,33121157.24,1449
AC VAN HALEM,AC Van Halem,40836445,1133
ACC International Relief,,12060421,3694
ACC INTERNATIONAL RELIEF INC,ACC International Relief,49738476.2,898
Acc International Relief Inc,ACC International Relief,10867117.63,4021
Accelya Kale Solutions Ltd,,61620230,736
Accenture Services Private Limited,Accenture Services Pvt Ltd,12480120,3594
Accenture Services Private Ltd,Accenture Services Pvt Ltd,17979320,2626
Accenture Services Pvt Ltd,Accenture Services Pvt Ltd,172959407,227
ACCENTURE SERVICES Pvt LTD,Accenture Services Pvt Ltd,36500000,1290
ACCENTURE SERVICES PVT LTD,Accenture Services Pvt Ltd,35154080,1343
ACCENTURE SOLUTIONS PRIVATE LIMITED,Accenture Services Pvt Ltd,39816490,1177
Accenture Solutions Private Limited,Accenture Services Pvt Ltd,37500000,1257
ACCENTURE SOLUTIONS PRIVATE LIMITED HEAD OFFICE,Accenture Services Pvt Ltd,13525064,3325
Accenture SVS Private Limited,Accenture Services Pvt Ltd,27722400,1743
Accord,,9219321.23,4601
ACN INTERNATIONAL,ACN Aid to the Church in Need ,19209441.96,2469
ACN International,ACN Aid to the Church in Need ,18612856.5,2546
ACT ALLIANCE,ACT Alliance,15688748.04,2938
ACTION AID,ActionAid,35895275,1309
Action Aid,ActionAid,34375265,1379
Action Aid Association,ActionAid,156814317,253
ACTION AID ASSOCIATION,ActionAid,72924033,589
Action Aid Assoication,ActionAid,8855000,4729
Action Aid India,ActionAid,28846572,1669
Action Aid International,ActionAid,1346231741,15
Action Aid UK,ActionAid,283822581.4,116
Action Aid USA,ActionAid,14125514,3198
Action Child Aid,,24302877.41,2006
ACTION CHILDREN AID,Action Child Aid,21061303.05,2287
Action et Partage avec Calcutta,,15333618.93,2995
Action Evangelical De penticostal,Action Sociale Evangelique de Penticaste,8391500,4933
Action for Rural Integration and Social Education,,9914567,4343
Action for support of deprived children,,10163732.9,4242
Action pour les enfants des lepreux de calcutta,,11057881,3972
Action Sociale Evangelique de Penticaste,,24893213,1944
Action Village India,,24071082.51,2023
ACTIONAID ASSOCIATION,ActionAid,82206180,531
Actionaid Association,ActionAid,40856239,1132
ActionAid Association,ActionAid,38131847,1237
Administarctor,,13233549.4,3398
Administrator,,35392322.8,1334
Adobe Foundation,,10806137.35,4040
Adobe Systems India,,13000000,3453
Adoratrices Esclavas,,8775302.1,4762
ADP Private Limited,,9171454,4617
ADRIENE MOBERLY,Adriene Moberly,26956332,1796
Advance Access and Delivery,,17415553,2693
Advance Native Mission,Advancing Native Missions,8441585.06,4907
ADVANCEMENT FOR CHILDREN IN NEED,Advancement for Children in Need,26435350,1835
ADVANCING NATIVE MISSION,Advancing Native Missions,12053733.39,3696
Advancing Native Mission,Advancing Native Missions,8417459.1,4922
Advancing Native Missions,Advancing Native Missions,100841873.7,419
ADVANCING NATIVE MISSIONS,Advancing Native Missions,8626803.66,4837
AEI,Aide a l Enfance de l Inde ,23718547.35,2062
